Text,Labels
ದರ್ಶನ್  ಅವರ    ಜಾಮೀನು ಅರ್ಜಿಯನ್ನು ನ್ಯಾಯಾಲಯ ನಮಸ್ಕಾರ ನಮಸ್ಕಾರ,Not_offensive
Pls in hindi,Not_offensive
China govt super fast agi land,Not_offensive
@funny videos nAyyo Mang badde thadhe.. n ಅಚ್ಚಗನ್ನಡ ಹಚ್ಚಗನ್ನಡ.nಅಚ್ಚಗನ್ನಡ ಸಾಮಾನ್ಯವಾಗಿ ಬಳಸುವುದು ವಾಡಿಕೆ.nಹಚ್ಚಹಸಿರು ಪದದಲ್ಲಿ ಹಸಿರನ್ನು ಉನ್ನತೀಕರಣಗೊಳಿಸಿ,Offensive_Targeted_Insult_Individual
Nimma customer reactionna video maadi youtube channel open maadi upload madi sir,Not_offensive
Naanu kooda join aagthini,Not_offensive
ಸೂಪರ್ ತೊಗರಿ ತಿಪ್ಪ ....,Not_offensive
RAKSHIT SHETTY WE LOVE YOU SO MUCH,not-Kannada
Bari shocki wala mosale kanniru,Offensive_Targeted_Insult_Other
ಲವ್ ಯು ಬಾಸ್  ಸೂಪರ್,Not_offensive
Last  ತನಕ ನಕ್ಕಿ ನಕ್ಕಿ ಹೊಟ್ಟೆ ನೋವು ಬಂತು,Not_offensive
Love u brooo,not-Kannada
ಏನು ಮಾಡೋದು ಸರ್ ದೇಶ ಉದ್ದಾರ ಮಾಡುವಷ್ಟು ದುಡ್ಡನ್ನು ನಕಲಿ ಗಾಂಧಿಗಳು ಲೂಟಿ ಮಾಡಿದ್ದಾರೆ ಅದು ಅಲ್ದೇ ಒಬ್ಬ ವಿದೇಶಿ ಮಹಿಳೆ ಕೈಯಲ್ಲಿ ದೇಶ ಸಿಕ್ಕು ಬರಬಾರದ ಪರಸ್ಥಿತಿಯಲ್ಲಿ ಬಂದುಬಿಟ್ಟಿದೆ ಅವಳ ಬ್ಯಾಂಕ್ ಬ್ಯಾಲೆನ್ಸ್ 3 ಬಿಲಿಯನ್ ಇದೆ ಯಾರಪ್ಪನ ಮನೆ ದುಡ್ಡು ಅದು ಸ್ವಲ್ಪ ಅದರ ಬಗ್ಗೆ ಒಂದು ವಿಡಿಯೋ ಮಾಡಿ ಲೂಟಿಕೋರರ ನಕಲಿ ಗಾಂಧಿಗಳ ಬಗ್ಗೆ,Offensive_Targeted_Insult_Group
ಹೌದು ಸರ್ ಫಿಲ್ಮ್ ಸೂಪರ್ ಡುಪರ್ nಜನ ಯಾಕೇ ಬರುತ್ತಿಲ್ಲ ಅಂದರೆ ನನ್ನ ಪ್ರಕಾರ ಕರೊನಾ ವೈರಸ್ ಮೂಲಾ,Offensive_Untargetede
Yen guru ulty 1 number,Not_offensive
Wow wt I seen ?? Osmm,not-Kannada
Le nimmouna thullagaa naayi tunni saabarige huttida MidArimagane,Offensive_Targeted_Insult_Individual
charan gowda  db,not-Kannada
Jai narayana jaihooooooo,Not_offensive
@Dhee Pu adu Acchhagannada,Not_offensive
Nim maathugalu thumba esta aaythu sir,Not_offensive
Is it true,not-Kannada
Elli vabba mhana kalavidan maga annodu menation agutte yakendre cinirangakke avarakoduge tunbaede yavadadaru poshaka pataragalanna kodabahudu aste,Not_offensive
India kudda Munde baruthe But late....navella Odmele,Not_offensive
Nice song Sri super  superhit,not-Kannada
ನೀನು ಹೇಳಿದ್ದೆಲ್ಲ ಕೇಳಿ ನನಗೆ ಅನಿನಿಸಿದ್ದು ನಮ್ಮ ದೇಶಾನ ಕಮ್ಮುನಿಸ್ಟ್ ದೇಶ ಮಾಡಬೇಕು ಅಂತ,Not_offensive
Well side bro,not-Kannada
ಸಂದರವಾದ ಕಲ್ಪನೆಯ ಕಥೆ 'ತೊಗರಿ ತಿಪ್ಪ',Not_offensive
Super correct sir,not-Kannada
Rakshit .....rock yaar,not-Kannada
My favourite singer VP Sir,not-Kannada
ಇಪ್ಪತೈದು ವರ್ಷಗಳ ಹಿಂದೆ ಕೇಳಿದ್ದು ಮತ್ತೆ ಕೇಳಿದಾಗ ತುಂಬಾ ಸಂತೋಷ ವಾಯಿತು,Not_offensive
Mast aitu tik tok ban maadi evella odo du bare yodu bittu bari tirpe shoki maadi nandu istu talent ankotir wa yalla dabba nan maklige Sari yaagi paata kalisi dange aitu. Study bage awrige Care idde iddilla iga nodona yestu awar talent anta. Taawe tik tok maadi tammanne brilliant anta tilkoluwara Talente,Offensive_Targeted_Insult_Group
Song hosa tara feel kodute,Not_offensive
Bro super video bro... Eglaaaa adru buddhi barli namm e janagaligi,Not_offensive
Gun ಹೆಸ್ರು ಅನವರತ ಇರ್ಬಹುದಾ? 🤔🤔🤔nಗೊತ್ತಿಲ್ಲ ಇದ್ರು ಇರಬಹುದು,Not_offensive
Ningappa  s  malekoppa,Not_offensive
Supper song nanna  maga feverte song,Not_offensive
Ravi Bandivaddar Osm,not-Kannada
@raii rai paaapaa bro🤣,Offensive_Targeted_Insult_Individual
ರಾಕಿಂಗ್ ಸ್ಟಾರ್ ಯಶ್ ಅಭಿಮಾನಿಗಳಿಂದ ಶುಭ ಹಾರೈಕೆಗಳು,Not_offensive
Ayyo gubalgala only tiktok tiktok antha odkotavre only not tiktok 59 apps ban agirodu,Offensive_Targeted_Insult_Group
सर आप लोगो से निवेदन है आप छत्तीसगढ़ मध्य्प्रदेश इस तरफ़ खुद की टाकीज खरीद लीजिये जिसमे सिर्फ साउथ की डब मूवी ही चलेगी आपसे रिक्वेस्ट है आप पैसा इन्वेस्ट करके दिखे छत्तीसगढ़ दुर्ग में तरुण बिग सिनेमा खाली हो रहा है आप दुर्ग में इन्वेस्ट कर सकते है nफिर क्या आप लोग धीरे धीरे पूरे हर जिलों में 1 सिनेमा घर आप अलॉट करते जाना फिर देखना आपकी हर मूवी को हम देख सकते है और अच्छा बिजनेस भी कर सकेगी,not-Kannada
@Mahesh Babu ninu Kalasipalya Sule fan alwa,Offensive_Targeted_Insult_Individual
Maneli appa amma na chennagi nodkondilla andru tirke shoki beku ivarigella bro,Offensive_Targeted_Insult_Group
@Aiswarya Soundarya hi,not-Kannada
@prithvi nayak ಉರ್ಕೊಂಡ ಲುಚ್ಛನ್ ಫ್ಯಾನ್ bcz,Offensive_Targeted_Insult_Group
ತುಂಬಾ ಒಳ್ಳೆ ಚಿತ್ರ,Not_offensive
Rakshit Shetty fans ondhu like Madi,Not_offensive
ನಿಮ್ಮ ಈ ಚಿತ್ರ ಇಡೀ ಭಾರತದಲ್ಲಿ ಜನ ಮಾತಾಡೋ ಥರಾ ಆಗುತ್ತೇ..,Not_offensive
@Sunil Vd ಧನ್ಯವಾದಗಳು,Not_offensive
@SS ENTERTANEMENT 2 Sir joke alla KGF li yela points galu tumba chanagitu nanu rakshith shetty fan nangenu hate illa,Not_offensive
ಈ ಚಿತ್ರದಲ್ಲಿ ನಟಿಸಿರುವ ಎಂ.ಕೆ. ಮಠ ಅದ್ಭುತ ನಟ. ರಂಗಭೂಮಿ ಹಿನ್ನೆಲೆ ಇರುವವರು. ಬಹುಭಾಷಾ ನಟ. ತಮಗೆ ಸಿಕ್ಕ ಕ್ಯಾರೆಕ್ಟರ್ ಗೆ ಪರಕಾಯ ಪ್ರವೇಶ ಮೂಲಕ ನ್ಯಾಯ ಒದಗಿಸುತ್ತಾರೆ. Love you ಮಠ ಸರ್,Not_offensive
ಇದೇ ಟ್ರೇಂಡ್ ಸೆಟ್ಟಿಂಗ್ ಎಂದರೆ... All the best ASN,Not_offensive
Mumbai alli release madi,Not_offensive
Chang illa movie,Not_offensive
Superb trailer ......,Not_offensive
ಭಗವಂತ ನಿಮ್ಮನ್ನು  ಮತ್ತು ನಿಮ್ಮ ಕುಟುಂಬವನ್ನು ಸದಾಕಾಲ ಕಾಪಾಡಲಿ.... ಒಳ್ಳೆಯವರಿಗೆ ಒಳ್ಳೆಯದೇ ಆಗುತ್ತದೆ....,Not_offensive
ಸೂಪರ್ ........ bigg ಫ್ಯಾನ್ of  ರಕ್ಷಿತ್ shetty,Not_offensive
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ... nಅವನೆ ಶ್ರೀಮನ್ನಾ ನಾರಾಯಣ,Not_offensive
Super steps brooooo,Not_offensive
Nijavaaglu adbhutha film plz encourage Kannada movie,Not_offensive
2020 super song,not-Kannada
@Reginald Kelly Kannada da bagge sumne matadidre(includes people too) adu namgu naatutte,Offensive_Untargetede
Tik tok alli jagala madtidralla adra baggenu ondu video madi anna super agi ugididdira,Not_offensive
You have bright future,not-Kannada
ಮಿಂಡ್ರಿ ಮಕ್ಳಿಗೆ ಸರಿಯಾಗೆ ಉಗ್ದಿದ್ದೀಯ ಗುರು,Offensive_Targeted_Insult_Group
Super song alva,Not_offensive
Hands up !!!,not-Kannada
Sir nimm number Kodi  2 minit matadabeku,Not_offensive
@Troll Stupid Fans buildup raaja neen est janunna nodidya choolnanmagne,Offensive_Targeted_Insult_Individual
Tiktok ban agirodrida tiktok madtidrala avr family avrig kushi agirute tumba deena ivr mada nodi sakagitu,Not_offensive
ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಯವರ ಬಾಡಿ ಲಾಂಗ್ವೇಜ್ ಗೆ ಸೈ ಎಂದವರು ಲೈಕ್ ಮಾಡಿ,Not_offensive
ಪ್ರಜಾಪ್ರಭುತ್ವ ಕಾನೂನಲ್ವಾ ಅದಕ್ಕೆ,Not_offensive
ಇದು ನಮ್ಮ ಉತ್ತರ ಕರ್ನಾಟಕದ ಶೈಲಿಯಲ್ಲಿ ಸಿನಿಮಾ ಆಗಬೇಕು,Not_offensive
@Dayananda C sir ivaga hagalla belige call maditini heli. Prashne keltini. Political bittu . Abhirudhi bagge keltini heli.,Not_offensive
@VARAPRASAD K K nin Amman thika nayi keyya dagaar darshan elladru neenu huttakintha munche nin appan munche koting kottidda ansutte soole magne nin amman dengaa,Offensive_Targeted_Insult_Individual
@MOVIES BOX innu baiko..... naan yen avn fan alla🤣.... avn film fan ashte,Offensive_Targeted_Insult_Individual
Kannada indusrty ivag ivaga improve agtaide annovru like madi..,Not_offensive
Sup song    HANDS UP  ASN,not-Kannada
Hands up  with ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ,Not_offensive
Bro super neevu,Not_offensive
Shikuar. Chimmalagi. Super,Not_offensive
ಸರ್ ಈ ತರಹ  ಸ್ಪೀಚ್ ಬೇಕು  ಪ್ರತಿ ನಿತ್ಯ  ಇಂತಹ  ವೀಡಿಯೋಸ್ ಬೇಕು  ಸರ್  ತುಂಬಾ ಧನ್ಯವಾದಗಳು,Not_offensive
Super boss nMake more vedio,not-Kannada
Mostly nimma mate keli tic tok ban agirbeku ಅಣ್ಣ ಏನಾದ್ರು ಆಗ್ಲಿ  ನಮ್ಮ  ಅಸೆ ನೆರವೇರಿತು tq u ಮೋದಿಜಿ,Not_offensive
Nivella aa Udyonmukhi Rajakarani kadeyavara,Offensive_Targeted_Insult_Group
Nanna prakara badukira bhahudu adare media davari aa cotiyalli ashvattama na bage yake gottaglilla,Offensive_Targeted_Insult_Group
Bro....ii movie online nalli elli sigutte....or TV yalli yavaga haktare......plzzzzzzzzz helu,Not_offensive
Demand ಈರುಳ್ಳಿಗೆ ಬಿಟ್ರೆnNEXTnನಮ್ಮ ASN ನಾ ಹಿಂದಿಯಲ್ಲಿ promote ಮಾಡಿ ಅನ್ನುವವರೆ ಹೆಚ್ಚು,Not_offensive
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Offensive_Targeted_Insult_Group
Superb  guru,Not_offensive
YASH BOSS DID IT,not-Kannada
Well said bro,not-Kannada
ಮ್ಯೂಸಿಕ್ ಡೈರೆಕ್ಟರ್ ಗೆ ಒಂದು ದೊಡ್ಡ ಸಲಾಂ ಯಾವುದೋ ಲೋಕಕ್ಕೆ ಹೋಗಿ ಬಂದಂಗಾಯ್ತು.. ನಿಜಕ್ಕೂ ಸಂಗೀತ ಮಾಂತ್ರಿಕ ಅಂದ್ರೆ ಇವ್ರರೆ,Not_offensive
En song guru fidha agode....Idhu charithre srustiso avatharaaa... Signature step shuruhachkoli inna..,Not_offensive
Sir avrudu bhashe yavdu a doctor bali yav bhashe matanadid ?,Not_offensive
ನೋಡಿ ಸರ್ ಯಾವದನು ಅಲೆಗಳಗಿಲ್ಲ ನಾನು ದೇವರನ ನಂಬಲ ಅಂದರೆ ಕೃಷ್ಣನ ಖಂಡಿತಾ ನಂಬತಿನಿ,Offensive_Targeted_Insult_Other
Instagram bya agithi ana,not-Kannada
Namma Huduga super agi madavnne super darlings,Not_offensive
ಚೆನ್ನಾಗಿದೆ ASN ಕಣ್ರೀ ರಕ್ಷೀತ್ ಶೆಟ್ಟಿ,Not_offensive
D Boss abimanigala kadeyinda avne srimannarayana chitrakke all the best,Not_offensive
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ..nನಾರಾಯಣ ನ ಅವತಾರ,Not_offensive
ಟಿಕ ಟಾಕ್ ಹೀರೋ ಹೀರೋಯಿನಗಳ  ತಿಥಿ ಊಟ ಹಾಕಸು ಗುರು creative ಕನ್ನಡಿಗ,Offensive_Targeted_Insult_Group
Rajesha C N,not-Kannada
ಟೆಲಿಗ್ರಾಮ್ ಅಂತ  app  ಇದೆ ಅದನ್ನ ಮೊದಲು ಬ್ಯಾನ್ ಮಾಡ್ಸಿ ಸರಿಹೋಗತ್ತೆ ...ಹೊಸ ಕನ್ನಡ ಸಿನಿಮಾ ರೀಲಿಸ್ ನಾಳೆಗೆ ಬಂದಿರುತ್ತೆ ಮೊಬೈಲ್ ಗೆ ಟೆಲಿಗ್ರಾಮ್ ಅಲ್ಲಿ,Offensive_Targeted_Insult_Group
Ji d boss I love you d boss,Not_offensive
Super  appu Bøss fans,not-Kannada
Unique tune.. Ade thamte,Offensive_Untargetede
Shankar ashwath sir devaru  olledu madli sir nimge,Not_offensive
Bro nim editing spr nan nim videos fan e video Dali heliro song matrA spr,Not_offensive
12 dislikes by gandu nanmakalu,Offensive_Targeted_Insult_Other
.evrytime u watch u will get different feelings dat s da power f asn,not-Kannada
Super kantha,not-Kannada
Nandini Parthasarathi d bass ge jai,Not_offensive
Nkn ಚಿಂದಿ,Not_offensive
Hats up karnataka,not-Kannada
Like from Kasaragod,not-Kannada
All are fake,not-Kannada
ತುಂಬಾ ತ್ರಿಲಿಂಗ್ ಇರೋ ಹಾಗೆ ಇದೆ ಬೇಗ ರೇಲಿಜ ಮಾಡಿ,Not_offensive
Edu charitre srustiso avatara,Not_offensive
Marketing swalpa bekittu ansutte,Offensive_Targeted_Insult_Other
BGM yav Hollywood gu kammi illa. Amazing song,Not_offensive
Super movie sir,not-Kannada
Super music 🤘🤟,not-Kannada
@s s Islam ಎಲ್ಲ ದೇಶಗಳಿಗೂ ಮಾರಕ .,Offensive_Untargetede
Yalla sule makkalu jasti thu,Offensive_Targeted_Insult_Other
STANY d Souza,not-Kannada
+Shivanand Kattimani so,not-Kannada
So sadnDis like 1.8k in KannadanIn Telugu 155nIn Tamil 188nIn Malayalam 134n#ASN,Not_offensive
Please provide more kannada,not-Kannada
ಇವನೆ ಶ್ರೀ ಮಾನನಾರಯಣ,Not_offensive
Super bro love India,not-Kannada
Sir ond compeny yalli kelsa madidra gov employes labor officer bookmadkond laber ge 5000 salry kotre employe mane  est kasta alva. yava gov sarilla sir nav egga comment madkondu saibeku aste,Offensive_Targeted_Insult_Group
Superb bro...,not-Kannada
Super bro ur video,not-Kannada
ದಿಯಾ ಕನ್ನಡದ ಅದ್ಭುತ ಸಿನಿಮಾಗಳಲ್ಲಿ ಒಂದು. nಕನ್ನಡದಲ್ಲಿ ಕಥೆ ಇಲ್ಲ ಏನ್ನುವವರಿಗೆ ದಿಯಾ ತಕ್ಕ ಉತ್ತರ ಕೊಟಿದ್ದೆ. ಇಂತಹ ಸಿನಿಮಾ ಸೋತರೆ ಕನ್ನಡಿಗರೇ ಸೋತ ಹಾಗೆ ಹಾಗಾಗಿ ಕನ್ನಡ ಸಿನಿ ಪ್ರೇಕ್ಷಕರು ದಿಯಾಳನ್ನು ಚಿತ್ರಮಂದಿರದಲೆ ನೀಡಬೇಕಾಗಿ ವಿನಂತಿ. nದಿಯಾಳ ಮನೋಜ್ಞ ಅಭಿನಯnಆದಿಯ ಲವಲವಿಕೆಯ ನಟನೆnರೋಹಿತ್ ಮುಗ್ಧ ನಟನೆ nಸಂಗೀತ ನಿರ್ದೇಶಕರ ಹಿನ್ನೆಲೆ ಸಂಗೀತ ಎಲ್ಲವೂ ಅದ್ಭುತ. (ಆದಿಗು ದಿಯಾಗು ಒಂದು ಮೇಲೋಡಿ ಡುಯೇಟ್,Not_offensive
@Kirankumarkk Gowda muchtiya solpa?,Offensive_Targeted_Insult_Individual
Kannada ಚಿತ್ರರಂಗಕ್ಕೆ ... Signature movie agutte.. avane ಶ್ರೀಮನ್ನಾರಾಯಣ....,Not_offensive
ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ.....nಅವನೇ ಶ್ರೀ ಮನ್ನಾರಾಯಣ...,Not_offensive
@Kiccha Vitthal ಹೋಗಿ ಸುದೀಪ್ ಹಳೆ interview ನೋಡು ಯಾರಿಗೆ ಫ್ಯಾನ್ following ಜಾಸ್ತಿ ಇದಾನೆ ಅಂತಾ ಅವ್ನೆ ಹೇಳಿದನೇ ಷಂಡ... ಬಳೆಗಾರ,Offensive_Targeted_Insult_Individual
ಇದು ಇತಿಹಾಸ ಸೃಷ್ಟಿಸೇೂ ಅವತಾರ.......nnಅವನೇ ಶ್ರೀಮನ್ನಾರಯಣ,Not_offensive
@shivanand medegar ಅಲ್ಲಿ ಕೂಡ ಕೆಲಸ ನಡೆಯುತ್ತಿದೆ 🤣🤣🤣,Not_offensive
Sachin Yalaburgi u,not-Kannada
@Ranganath S yes,not-Kannada
Nusarath Nadaf suparandhttp,not-Kannada
Gubaal. Tennis ge ball🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,not-Kannada
Kerala antha helbedi bro. Adu kuda jathi na nodutte. Agi hechagi nodutte nan sutta muttalina example nalli heltha idini... I have many Malli frnds so,Not_offensive
ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳು ಲೈಕ್ ಮಾಡಿ,Not_offensive
Game name yavdu bro...,Not_offensive
30 ವರ್ಷಗಳ ಹಿಂದೆ ನಾವು 7 ನೇ ತರಗತಿಯಲ್ಲಿ ಇದ್ದಾಗ ಈ ಕಥೆಯ ಕ್ಯಾಸೆಟ್ ಮುಖಾಂತರ ಕೇಳಿ ಬಹಳ ಖುಷಿಪಡುತ್ತಿದ್ದೆವು. ಮತ್ತೊಮ್ಮೆ ಈ ಕಥೆಯನ್ನು ಕೇಳಲು ಅವಕಾಶ ಕಲ್ಪಿಸಿಕೊಟ್ಟ ಅಶ್ವಿನಿ ಕ್ಯಾಸೆಟ್ ಕಂಪನಿಗೆ ತುಂಬಾ ಧನ್ಯವಾದಗಳು....,Not_offensive
Darshan  abimanikade enda koda best of luck,Not_offensive
ಸೂಪರ್ ಸಾಂಗ್ altimate ಸಾಂಗ್ guru,Not_offensive
ಮೊದಲು ನೋಡಿದಾಗ ಓಕೆ ಓಕೆ ಅನ್ನಿಸ್ತು.....nನಿಧಾನವಾಗಿ ಮನಸಿನೊಳಗೆ ಆವರಿಸುತ್ತಾ ಹೋಗುತ್ತೆ nnನಿಜ ತಾನೆ?,Not_offensive
ಕಷ್ಟ ಪಟ್ಟು  ಸಾಲ ಸೋಲ ಮಾಡಿ ಕ೦ಪನಿ ಸ್ಥಾಪಿಸಿದ್ರು GST ಕಟ್ಸಿ ಕಟ್ಸಿ ದಿವಾಳಿ ಮಾಡ್ಸಿ ಬಿಡ್ತಾರೆ ಈ ರಾಜಕಾರಣಿಗಳು.,Offensive_Targeted_Insult_Group
Super Amar prasad sir,not-Kannada
Superb guru...hogiri makke tiktok ishta padorige,Not_offensive
Only 124 dislike,not-Kannada
100%avre dislike madirodu....,Not_offensive
ಏಳನೇ ದಿನ ಕೇಳ್ತಾ ಇದ್ದೇನೆ,Not_offensive
Super song,not-Kannada
ಕತೆ ಕತೆಯಾಗಿ ಇರುತ್ತೆ ಇದನ್ನು ನಂಬಲು ಅಸಾದ್ಯ,Offensive_Untargetede
E video na unlike madoru nijavaglu kannads davaru ala,Offensive_Targeted_Insult_Group
OLA marma? leay thu OLA na promote maadoke isht dodd message haktyeno? D boooos fans na nodi kalthko.....avrella huttidaagle amman akkan antha pure kannada words kalthu bandirodu......,Not_offensive
Super  tippa  story,not-Kannada
ಮರಿಯೋಕ್ ಸಾದ್ಯ ಆಗ್ದೆ ಇರೊ ಸಿನೆಮಾ,Not_offensive
Abbbabbabababababa . . Dhoolu guru.. gooli Bantu,Offensive_Targeted_Insult_Individual
Bro e tiktok madovrna modlu thuldu sayisbeku ...nBari bildup kodo sedegale erodu bvrc galu,Offensive_Targeted_Insult_Other
ASN asli sir benga ayti re song,Not_offensive
Jai dboss,Not_offensive
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not_offensive
Bucket fans like here,not-Kannada
Slow poison song annoru like Maadi,Not_offensive
Nange bahala novaytu nannamele yakandre nanu  Diyaa moviena thetoralli nodilla adakke please realise onse again nanu nodtin Mathe janru nodtare please,Not_offensive
En bgm guru chindi,Not_offensive
Delete hadru nanu downloade made,Not_offensive
Rakshit setty avru ondu D boss ge script barudre eng erutte d boss fans,Not_offensive
ಹೌದು ಹುಲಿಯಾ,Not_offensive
Same here too..Hyderabadi Kannadiga,not-Kannada
Hands up like madi,Not_offensive
@Just Fun RS,not-Kannada
ಸಾಂಗ್ ಸೂಪರ್ ಆಗಿ ಆಡಿದಿರ ಅಣ್ಣ,Not_offensive
@Sushma Prasad thank uu,not-Kannada
Music superaagi kottidiya guru,Not_offensive
Please intha cinemagalannu     gellisona ......namma hemmeya Kannada cinema,Not_offensive
Awesome,Not_offensive
ನಾನ್ ಸಬ್ಸ್ಕ್ರೈಬ್ ಮಾಡಿದೆ,Not_offensive
Yalla hero fans e movie naa support madtini annoru like madi,Not_offensive
Nimma mahithi 100% sathya yavaga etharahada rajakaranigalinda deshakke mukthi sigatho aa devarigu kuda gothilla adare next generation avaru sadane madabahudu,Offensive_Targeted_Insult_Group
Swag se swagat,not-Kannada
ಸಾಹಸಸಿಂಹ ಅಭಿಮಾನಿಗಳ ಇಂದ ಆಲ್ ದ ಬೆಸ್ಟ್,Not_offensive
ಈ ಸಾಂಗ್ ಕೇಳಿ ರಶ್ಮಿಕಾ ಮಾದಣ್ಣ ಎಷ್ಟು ಹುರ್ಕೊಂಡಿದಾಳೊ ಅವ್ಳಿಗೆ ಒಂದು ಐಸ್,Offensive_Targeted_Insult_Individual
Masthundhi song mama nKikkea verabba aa retham looooo,Not_offensive
Bro super,not-Kannada
